# ARCHIVO HISTORICO - Ver AUDITORIA-ESTADO-REAL-2026-03-01.md para estado actual
# Esta matriz solo verificaba presencia de TODOs, no el estado real de implementación
modulo,estado,evidencia
advertising,Sin TODOs detectados,includes/modules/advertising/
avisos-municipales,Sin TODOs detectados,includes/modules/avisos-municipales/
ayuda-vecinal,Sin TODOs detectados,includes/modules/ayuda-vecinal/
banco-tiempo,Sin TODOs detectados,includes/modules/banco-tiempo/
bares,Sin TODOs detectados,includes/modules/bares/
biblioteca,Sin TODOs detectados,includes/modules/biblioteca/
bicicletas-compartidas,Sin TODOs detectados,includes/modules/bicicletas-compartidas/
biodiversidad-local,Sin TODOs detectados,API REST y Panel Admin completados
carpooling,Sin TODOs detectados,includes/modules/carpooling/
chat-grupos,Sin TODOs detectados,includes/modules/chat-grupos/
chat-interno,Sin TODOs detectados,includes/modules/chat-interno/
circulos-cuidados,Sin TODOs detectados,API REST y Panel Admin completados
clientes,Sin TODOs detectados,includes/modules/clientes/
colectivos,Sin TODOs detectados,includes/modules/colectivos/
compostaje,Sin TODOs detectados,includes/modules/compostaje/
comunidades,Sin TODOs detectados,includes/modules/comunidades/
cursos,Sin TODOs detectados,includes/modules/cursos/
dex-solana,Sin TODOs detectados,includes/modules/dex-solana/
economia-don,Sin TODOs detectados,API REST y Panel Admin completados
economia-suficiencia,Parcial - 1 TODO,includes/modules/economia-suficiencia/ (TODO: Enviar notificación línea 537)
email-marketing,Sin TODOs detectados,includes/modules/email-marketing/
empresarial,Sin TODOs detectados,includes/modules/empresarial/
espacios-comunes,Sin TODOs detectados,includes/modules/espacios-comunes/
eventos,Sin TODOs detectados,API REST completa en flavor/v1/eventos
facturas,Parcial - Falta frontend,API REST completa pero falta frontend controller y views
fichaje-empleados,Parcial - Falta frontend,API REST completa pero falta shortcodes y views (PRIORIDAD ALTA)
foros,Sin TODOs detectados,includes/modules/foros/
grupos-consumo,Sin TODOs detectados,MODULOS_ESTADO_PLAN.md - core completado
huella-ecologica,Sin TODOs detectados,API REST y Panel Admin completados
huertos-urbanos,Sin TODOs detectados,includes/modules/huertos-urbanos/
incidencias,Sin TODOs detectados,API REST (class-incidencias-api.php) y Panel Admin completos
justicia-restaurativa,Sin TODOs detectados,API REST y Panel Admin completados
marketplace,Sin TODOs detectados,includes/modules/marketplace/
multimedia,Sin TODOs detectados,includes/modules/multimedia/
parkings,Sin TODOs detectados,includes/modules/parkings/
participacion,Sin TODOs detectados,includes/modules/participacion/
podcast,Sin TODOs detectados,includes/modules/podcast/
presupuestos-participativos,Sin TODOs detectados,includes/modules/presupuestos-participativos/
radio,Sin TODOs detectados,includes/modules/radio/
recetas,Sin TODOs detectados,includes/modules/recetas/
reciclaje,Sin TODOs detectados,includes/modules/reciclaje/
red-social,Sin TODOs detectados,includes/modules/red-social/
reservas,Sin TODOs detectados,API REST completa en flavor/v1/reservas
saberes-ancestrales,Sin TODOs detectados,API REST y Panel Admin completados
sello-conciencia,Sin TODOs detectados,API REST y Panel Admin completados
socios,Parcial - Falta frontend,API REST completa pero falta ampliar frontend controller y views
talleres,Sin TODOs detectados,API REST (class-talleres-api.php) y Panel Admin completos
themacle,Sin TODOs detectados,includes/modules/themacle/
trabajo-digno,Sin TODOs detectados,API REST y Panel Admin completados
trading-ia,Sin TODOs detectados,includes/modules/trading-ia/
tramites,Sin TODOs detectados,API REST (class-tramites-api.php) y Panel Admin completos
transparencia,Sin TODOs detectados,includes/modules/transparencia/
woocommerce,Sin TODOs detectados,API REST y Panel Admin agregados
